constructorId,name,nationality,url
1,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
3,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
4,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
5,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
6,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
7,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
8,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1
9,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
10,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
11,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
12,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1
13,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing
14,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
15,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
16,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
17,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
18,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
19,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing
20,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix
21,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
22,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
23,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
24,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix
25,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing
26,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
27,Ligier,French,http://en.wikipedia.org/wiki/Ligier
28,Forti,Italian,http://en.wikipedia.org/wiki/Forti
29,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows
30,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing
31,Simtek,British,http://en.wikipedia.org/wiki/Simtek
32,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
33,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse
34,Brabham,British,http://en.wikipedia.org/wiki/Brabham
35,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara
36,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal
37,March,British,http://en.wikipedia.org/wiki/March_Engineering
38,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
39,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
40,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team)
41,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House
42,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
44,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun
45,Osella,Italian,http://en.wikipedia.org/wiki/Osella
46,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team)
47,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team)
48,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
49,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed
50,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing
51,Alfa Romeo,Italian,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
52,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team)
53,Toleman,British,http://en.wikipedia.org/wiki/Toleman
54,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
55,Theodore,Hongkongers,http://en.wikipedia.org/wiki/Theodore_Racing
56,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29
57,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29
58,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
59,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
60,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario
61,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen
62,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque
63,Surtees,British,http://en.wikipedia.org/wiki/Surtees
64,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing
65,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars)
66,BRM,British,http://en.wikipedia.org/wiki/BRM
67,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing
68,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One)
69,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One)
70,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
71,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
72,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
73,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli
74,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
75,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor)
76,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar
77,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team)
78,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
79,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team)
80,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro
81,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno
82,Matra,French,http://en.wikipedia.org/wiki/Matra
83,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
84,Connew,British,http://en.wikipedia.org/wiki/Connew
85,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
86,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
