Name,Continent,Nationality
Argentina,South America,Argentinian
Australia,Oceania,Australian
Austria,Europe,Austrian
Azerbaijan,Asia,Azerbaijani
Bahrain,Asia,Bahraini
Belgium,Europe,Belgian
Brazil,South America,Brazilian
Canada,North America,Canadian
China,Asia,Chinese
Finland,Europe,Finnish
France,Europe,French
Germany,Europe,German
Hungary,Europe,Hungarian
India,Asia,Indian
Italy,Europe,Italian
Japan,Asia,Japanese
Korea,Asia,Korean
Malaysia,Asia,Malay
Mexico,North America,Mexican
Monaco,Europe,Monegasque
Morocco,Africa,Moroccan
Netherlands,Europe,Dutch
Portugal,Europe,Portugese
Russia,Europe,Russian
Saudi Arabia,Asia,Saudi
Singapore,Asia,Singaporean
South Africa,Africa,South African
Spain,Europe,Spanish
Sweden,Europe,Swedish
Switzerland,Europe,Swiss
Turkey,Europe,Turkish
UAE,Asia,Arabian?
United Kingdom,Europe,British
USA,North America,American
Vietnam,Asia,Vietnamese
Chile,South America,Chilean
Colombia,South America,Colombian
Czech Republic,Europe,Czech
Denmark,Europe,Danish
Indonesia,Asia,Indonesian
Ireland,Europe,Irish
Liechtenstein,Europe,Liechtensteiner
New Zealand,Oceania,New Zealander
Poland,Europe,Polish
Zimbabwe,Africa,Zimbabwean
Thailand,Asia,Thai
Uruguay,South America,Uruguayan
Venezuela,South America,Venezuelan
